,lobule_size,lobule_name
7,543.321267759693,./output/example\
8,514.6270494251153,./output/example\
9,604.2036080660228,./output/example\
11,402.85481255658345,./output/example\
13,548.1760666063414,./output/example\
16,497.81924430459696,./output/example\
18,484.5069658941964,./output/example\
20,552.9801081413327,./output/example\
26,630.522005960141,./output/example\
27,396.5337312259828,./output/example\
28,465.51691698583846,./output/example\
32,335.3893260078502,./output/example\
35,584.8247600777519,./output/example\
37,560.1722949236243,./output/example\
38,485.087620951102,./output/example\
41,392.54935995362416,./output/example\
44,336.25585496761244,./output/example\
47,332.05120087119093,./output/example\
50,447.0984231687694,./output/example\
53,453.97136473570663,./output/example\
54,371.1697724761541,./output/example\
55,495.00808074212284,./output/example\
